year;month;n_months;tot_electric_power_industry;electric_generators_electric_utilities;combined_heat&power_industrial_power
2001;1;1;1457653;809923;2610
2001;2;2;946827;344167;1600
2001;3;3;874687;372787;1160
2001;4;4;992830;322850;1240
2001;5;5;1275251;609791;1200
2001;6;6;1305957;706267;1090
2001;7;7;1551789;841819;1330
2001;8;8;1494602;820622;1070
2001;9;9;1315213;750813;460
2001;10;10;1082143;615303;1120
2001;11;11;1122303;661313;1560
2001;12;12;1450120;778160;810
2002;1;13;1284515;610199;98
2002;2;14;1203820;623080;5
2002;3;15;1095469;552044;561
2002;4;16;839337;377135;1456
2002;5;17;1281830;628554;593
2002;6;18;1323331;642676;1455
2002;7;19;1392613;778411;1068
2002;8;20;827697;826540;1157
2002;9;21;1475228;781504;834
2002;10;22;1274646;655282;441
2002;11;23;1120419;596729;1289
2002;12;24;1513009;810236;388
2003;1;25;1487731;744601;1881
2003;2;26;1225776;578778;978
2003;3;27;1190084;555181;889
2003;4;28;733073;240250;1149
2003;5;29;1344900;670049;1247
2003;6;30;1269824;648036;1329
2003;7;31;1359540;760987;685
2003;8;32;1498189;816108;659
2003;9;33;1268886;598294;1175
2003;10;34;1291840;676734;1184
2003;11;35;1300300;703973;1911
2003;12;36;1506710;808747;1288
2004;1;37;1472319,55;787730;1165,55
2004;2;38;1269542,02;643815;470,02
2004;3;39;843466,06;351913;641,06
2004;4;40;1012255,29;421515;769,29
2004;5;41;1509271,23;816123;880,23
2004;6;42;1380871,94;720097;474,94
2004;7;43;1486968,3;758490;470,3
2004;8;44;1538095,21;799813;461,21
2004;9;45;1492562,98;789152;1016,98
2004;10;46;1334013,74;750242;822,74
2004;11;47;1251643,82;618989;553,82
2004;12;48;1393107,16;683665;988,16
2005;1;49;1516534,7;806112;743,7
2005;2;50;1354266,56;751621;563,56
2005;3;51;1443768,19;835983;857,19
2005;4;52;753324,14;322445;1104,14
2005;5;53;1131728,72;548044;1090,72
2005;6;54;1362801,52;767827;2357,52
2005;7;55;1477125,12;784468;2420,12
2005;8;56;1440191,36;774823;546,36
2005;9;57;1309282,7;624865;610,7
2005;10;58;1273862,95;549116;965,95
2005;11;59;1322308,28;752797;873,28
2005;12;60;1417592,23;767991;935,23
2006;1;61;1469012,97;747280;1131,97
2006;2;62;1188406,32;492848;795,32
2006;3;63;1000710,33;377213;1433,33
2006;4;64;1004376,89;484226;891,89
2006;5;65;1338497,49;743265;550,49
2006;6;66;1469212,27;776358;808,27
2006;7;67;1607957,14;839515;621,14
2006;8;68;1572878,37;815402;398,37
2006;9;69;1361015,26;670364;278,26
2006;10;70;1443525,58;768564;894,58
2006;11;71;1397974,2;702726;795,2
2006;12;72;1492975,76;832336;1227,76
2007;1;73;1424678;699981;925
2007;2;74;1177752;541764;787
2007;3;75;918291;287771;809
2007;4;76;842346;266305;806
2007;5;77;1110316;536839;769
2007;6;78;1484238;803581;1320
2007;7;79;1577146;806856;701
2007;8;80;1538865;799459;803
2007;9;81;1395344;645733;875
2007;10;82;1224032;734612;708
2007;11;83;1271235;771967;620
2007;12;84;1498486;793097;794
2008;1;85;1600560;856693;901
2008;2;86;1279029;557403;616
2008;3;87;1247322;500600;786
2008;4;88;1104691;566610;659
2008;5;89;1524214;778476;631
2008;6;90;1472109;758850;637
2008;7;91;1560764;820738;228
2008;8;92;1552253;796313;403
2008;9;93;1141639;655599;231
2008;10;94;1137102;570357;272
2008;11;95;1210924;534410;126
2008;12;96;1512040;774160;140
